Barangay,Year,Month,Cases
Anilao,2016,January,0
Atlag,2016,January,1
Babatnin,2016,January,0
Bagna,2016,January,0
Bagong Bayan,2016,January,1
Balayong,2016,January,0
Balite,2016,January,0
Bangkal,2016,January,1
Barihan,2016,January,0
Bulihan,2016,January,4
Bungahan,2016,January,0
Caingin,2016,January,0
Calero,2016,January,0
Caliligawan,2016,January,0
Canalate,2016,January,0
Caniogan,2016,January,0
Catmon,2016,January,0
Cofradia,2016,January,2
Dakila,2016,January,1
Guinhawa,2016,January,1
Liang,2016,January,0
Ligas,2016,January,0
Longos,2016,January,1
Look 1St,2016,January,1
Look 2Nd,2016,January,0
Lugam,2016,January,2
Mabolo,2016,January,2
Mambog,2016,January,1
Masile,2016,January,0
Matimbo,2016,January,0
Mojon,2016,January,3
Namayan,2016,January,0
Niugan,2016,January,0
Pamarawan,2016,January,0
Panasahan,2016,January,0
Pinagbakahan,2016,January,3
San Agustin,2016,January,0
San Gabriel,2016,January,0
San Juan,2016,January,0
San Pablo,2016,January,2
San Vicente,2016,January,1
Santiago,2016,January,0
Santisima Trinidad,2016,January,0
Santo Cristo,2016,January,0
Santo Niño,2016,January,0
Santo Rosario,2016,January,2
Santor,2016,January,1
Sumapang Bata,2016,January,1
Sumapang Matanda,2016,January,0
Taal,2016,January,0
Tikay,2016,January,2
Anilao,2016,February,0
Atlag,2016,February,2
Babatnin,2016,February,0
Bagna,2016,February,0
Bagong Bayan,2016,February,0
Balayong,2016,February,0
Balite,2016,February,0
Bangkal,2016,February,0
Barihan,2016,February,0
Bulihan,2016,February,1
Bungahan,2016,February,0
Caingin,2016,February,1
Calero,2016,February,0
Caliligawan,2016,February,0
Canalate,2016,February,1
Caniogan,2016,February,0
Catmon,2016,February,0
Cofradia,2016,February,0
Dakila,2016,February,1
Guinhawa,2016,February,0
Liang,2016,February,0
Ligas,2016,February,0
Longos,2016,February,1
Look 1St,2016,February,2
Look 2Nd,2016,February,0
Lugam,2016,February,1
Mabolo,2016,February,0
Mambog,2016,February,2
Masile,2016,February,0
Matimbo,2016,February,0
Mojon,2016,February,1
Namayan,2016,February,0
Niugan,2016,February,0
Pamarawan,2016,February,0
Panasahan,2016,February,2
Pinagbakahan,2016,February,0
San Agustin,2016,February,0
San Gabriel,2016,February,0
San Juan,2016,February,0
San Pablo,2016,February,0
San Vicente,2016,February,0
Santiago,2016,February,0
Santisima Trinidad,2016,February,0
Santo Cristo,2016,February,0
Santo Niño,2016,February,0
Santo Rosario,2016,February,0
Santor,2016,February,0
Sumapang Bata,2016,February,1
Sumapang Matanda,2016,February,1
Taal,2016,February,0
Tikay,2016,February,0
Anilao,2016,March,0
Atlag,2016,March,0
Babatnin,2016,March,0
Bagna,2016,March,0
Bagong Bayan,2016,March,0
Balayong,2016,March,0
Balite,2016,March,0
Bangkal,2016,March,0
Barihan,2016,March,0
Bulihan,2016,March,1
Bungahan,2016,March,0
Caingin,2016,March,0
Calero,2016,March,0
Caliligawan,2016,March,0
Canalate,2016,March,0
Caniogan,2016,March,0
Catmon,2016,March,0
Cofradia,2016,March,2
Dakila,2016,March,0
Guinhawa,2016,March,0
Liang,2016,March,0
Ligas,2016,March,1
Longos,2016,March,0
Look 1St,2016,March,1
Look 2Nd,2016,March,1
Lugam,2016,March,0
Mabolo,2016,March,0
Mambog,2016,March,0
Masile,2016,March,0
Matimbo,2016,March,1
Mojon,2016,March,1
Namayan,2016,March,0
Niugan,2016,March,0
Pamarawan,2016,March,0
Panasahan,2016,March,0
Pinagbakahan,2016,March,0
San Agustin,2016,March,0
San Gabriel,2016,March,0
San Juan,2016,March,0
San Pablo,2016,March,0
San Vicente,2016,March,1
Santiago,2016,March,0
Santisima Trinidad,2016,March,0
Santo Cristo,2016,March,0
Santo Niño,2016,March,0
Santo Rosario,2016,March,0
Santor,2016,March,0
Sumapang Bata,2016,March,0
Sumapang Matanda,2016,March,0
Taal,2016,March,0
Tikay,2016,March,1
Anilao,2016,April,0
Atlag,2016,April,0
Babatnin,2016,April,0
Bagna,2016,April,0
Bagong Bayan,2016,April,0
Balayong,2016,April,0
Balite,2016,April,0
Bangkal,2016,April,0
Barihan,2016,April,0
Bulihan,2016,April,0
Bungahan,2016,April,0
Caingin,2016,April,0
Calero,2016,April,0
Caliligawan,2016,April,0
Canalate,2016,April,0
Caniogan,2016,April,0
Catmon,2016,April,0
Cofradia,2016,April,0
Dakila,2016,April,0
Guinhawa,2016,April,0
Liang,2016,April,0
Ligas,2016,April,0
Longos,2016,April,0
Look 1St,2016,April,1
Look 2Nd,2016,April,0
Lugam,2016,April,0
Mabolo,2016,April,1
Mambog,2016,April,0
Masile,2016,April,0
Matimbo,2016,April,0
Mojon,2016,April,1
Namayan,2016,April,0
Niugan,2016,April,0
Pamarawan,2016,April,0
Panasahan,2016,April,0
Pinagbakahan,2016,April,0
San Agustin,2016,April,0
San Gabriel,2016,April,0
San Juan,2016,April,0
San Pablo,2016,April,0
San Vicente,2016,April,0
Santiago,2016,April,0
Santisima Trinidad,2016,April,0
Santo Cristo,2016,April,0
Santo Niño,2016,April,0
Santo Rosario,2016,April,0
Santor,2016,April,0
Sumapang Bata,2016,April,0
Sumapang Matanda,2016,April,0
Taal,2016,April,0
Tikay,2016,April,0
Anilao,2016,May,0
Atlag,2016,May,0
Babatnin,2016,May,0
Bagna,2016,May,0
Bagong Bayan,2016,May,0
Balayong,2016,May,0
Balite,2016,May,0
Bangkal,2016,May,0
